repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type
draft-ietf-mptcp-rfc6824bis	draft-ietf-mptcp-rfc6824bis-11.xml draft-ietf-mptcp-rfc6824bis-10.xml	{'draft-ietf-mptcp-rfc6824bis-11.xml': 16, 'draft-ietf-mptcp-rfc6824bis-10.xml': 2}	{'xml': 18}	18	2	xml
https-notif	draft-ietf-netconf-https-notif.xml	{'draft-ietf-netconf-https-notif.xml': 26}	{'xml': 26}	26	1	xml
draft-irtf-nwcrg-network-coding-satellites	draft-irtf-nwcrg-network-coding-satellites-06.xml draft-irtf-nwcrg-network-coding-satellites-07.xml draft-irtf-nwcrg-network-coding-satellites-05.xml draft-irtf-nwcrg-network-coding-satellites-10.xml	{'draft-irtf-nwcrg-network-coding-satellites-06.xml': 26, 'draft-irtf-nwcrg-network-coding-satellites-07.xml': 14, 'draft-irtf-nwcrg-network-coding-satellites-05.xml': 18, 'draft-irtf-nwcrg-network-coding-satellites-10.xml': 2}	{'xml': 60}	60	4	xml
oblivious-http	draft-thomson-http-oblivious.md draft-ietf-ohai-ohttp.md draft-thomson-ohai-ohttp.md draft-thomson-http-binary-message.md	{'draft-thomson-http-oblivious.md': 68, 'draft-ietf-ohai-ohttp.md': 248, 'draft-thomson-ohai-ohttp.md': 6, 'draft-thomson-http-binary-message.md': 12}	{'md': 334}	334	4	md
lxnm	draft-ietf-opsawg-l3sm-l3nm-01.xml draft-ietf-opsawg-l3sm-l3nm-04.xml draft-ietf-opsawg-l3sm-l3nm-02.xml draft-ietf-opsawg-sap.xml draft-ietf-opsawg-l3sm-l3nm-03.xml draft-ietf-opsawg-l3sm-l3nm.xml draft-ietf-opsawg-l2nm.xml draft-ietf-opsawg-l3sm-l3nm-00.xml draft-ietf-opsawg-vpn-common.xml	{'draft-ietf-opsawg-l3sm-l3nm-01.xml': 30, 'draft-ietf-opsawg-l3sm-l3nm-04.xml': 42, 'draft-ietf-opsawg-l3sm-l3nm-02.xml': 22, 'draft-ietf-opsawg-sap.xml': 16, 'draft-ietf-opsawg-l3sm-l3nm-03.xml': 4, 'draft-ietf-opsawg-l3sm-l3nm.xml': 8, 'draft-ietf-opsawg-l2nm.xml': 14, 'draft-ietf-opsawg-l3sm-l3nm-00.xml': 2, 'draft-ietf-opsawg-vpn-common.xml': 4}	{'xml': 142}	142	9	xml
ietf-wg-privacypass-base-drafts	draft-ietf-privacypass-auth-scheme.md draft-ietf-privacypass-architecture.md draft-davidson-pp-protocol.md draft-ietf-privacypass-protocol.md draft-svaldez-pp-http-api.md draft-davidson-pp-architecture.md draft-ietf-privacypass-http-api.md	{'draft-ietf-privacypass-auth-scheme.md': 78, 'draft-ietf-privacypass-architecture.md': 118, 'draft-davidson-pp-protocol.md': 22, 'draft-ietf-privacypass-protocol.md': 112, 'draft-svaldez-pp-http-api.md': 8, 'draft-davidson-pp-architecture.md': 10, 'draft-ietf-privacypass-http-api.md': 4}	{'md': 352}	352	7	md
draft-ietf-ppm-dap	draft-ietf-ppm-dap.md draft-gpew-priv-ppm.md draft-ppm-protocol.md draft-pda-protocol.md draft-pda-core.md	{'draft-ietf-ppm-dap.md': 200, 'draft-gpew-priv-ppm.md': 48, 'draft-ppm-protocol.md': 20, 'draft-pda-protocol.md': 78, 'draft-pda-core.md': 8}	{'md': 354}	354	5	md
rfc-censorship-tech	draft-hall-censorship-tech.md draft-irtf-pearg-censorship.md draft-hall-censorship-tech-latest.md	{'draft-hall-censorship-tech.md': 4, 'draft-irtf-pearg-censorship.md': 10, 'draft-hall-censorship-tech-latest.md': 12}	{'md': 26}	26	3	md
perc-wg	draft-ietf-perc-double.md draft-ietf-perc-srtp-ekt-diet.xml draft-jones-perc-dtls-tunnel.md draft-ietf-perc-srtp-ekt-diet.md draft-ietf-perc-dtls-tunnel.md draft-ietf-perc-private-media-framework.md draft-jones-perc-private-media-framework.md	{'draft-ietf-perc-double.md': 58, 'draft-ietf-perc-srtp-ekt-diet.xml': 60, 'draft-jones-perc-dtls-tunnel.md': 6, 'draft-ietf-perc-srtp-ekt-diet.md': 26, 'draft-ietf-perc-dtls-tunnel.md': 20, 'draft-ietf-perc-private-media-framework.md': 34, 'draft-jones-perc-private-media-framework.md': 2}	{'md': 146, 'xml': 60}	206	7	md
draft-ietf-rats-uccs	draft-ietf-rats-uccs.md	{'draft-ietf-rats-uccs.md': 16}	{'md': 16}	16	1	md
ietf-rats-wg-architecture	draft-ietf-rats-architecture.md	{'draft-ietf-rats-architecture.md': 438}	{'md': 438}	438	1	md
basic-yang-module	draft-ietf-rats-yang-tpm-charra.md attester-supported-algos.tree	{'draft-ietf-rats-yang-tpm-charra.md': 76, 'attester-supported-algos.tree': 1}	{'md': 76, 'tree': 1}	77	2	md
draft-ietf-rats-ar4si	draft-ietf-rats-ar4si.md	{'draft-ietf-rats-ar4si.md': 18}	{'md': 18}	18	1	md
draft-ietf-rats-reference-interaction-models	draft-ietf-rats-reference-interaction-models.md	{'draft-ietf-rats-reference-interaction-models.md': 34}	{'md': 34}	34	1	md
dao-projection	draft-ietf-roll-dao-projection.xml	{'draft-ietf-roll-dao-projection.xml': 14}	{'xml': 14}	14	1	xml
rpl-observations	draft-ietf-roll-rpl-observations.xml	{'draft-ietf-roll-rpl-observations.xml': 4}	{'xml': 4}	4	1	xml
Capabilities	draft-ietf-roll-mopex-cap.xml draft-ietf-roll-capabilities.xml	{'draft-ietf-roll-mopex-cap.xml': 4, 'draft-ietf-roll-capabilities.xml': 6}	{'xml': 10}	10	2	xml
useofrplinfo	roll-useofrplinfo.xml draft-ietf-roll-useofrplinfo.xml	{'roll-useofrplinfo.xml': 24, 'draft-ietf-roll-useofrplinfo.xml': 2}	{'xml': 26}	26	2	xml
jsep	draft-ietf-rtcweb-jsep.xml	{'draft-ietf-rtcweb-jsep.xml': 988}	{'xml': 988}	988	1	xml
mdns-ice-candidates	draft-ietf-rtcweb-mdns-ice-candidates.md draft-ietf-mmusic-mdns-ice-candidates.md	{'draft-ietf-rtcweb-mdns-ice-candidates.md': 122, 'draft-ietf-mmusic-mdns-ice-candidates.md': 10}	{'md': 132}	132	2	md
ip-handling	draft-ietf-rtcweb-ip-handling.xml	{'draft-ietf-rtcweb-ip-handling.xml': 18}	{'xml': 18}	18	1	xml
security-arch	draft-ietf-rtcweb-security-arch.xml	{'draft-ietf-rtcweb-security-arch.xml': 98}	{'xml': 98}	98	1	xml
fec	draft-ietf-rtcweb-fec.xml	{'draft-ietf-rtcweb-fec.xml': 12}	{'xml': 12}	12	1	xml
security	draft-ietf-rtcweb-security.xml	{'draft-ietf-rtcweb-security.xml': 26}	{'xml': 26}	26	1	xml
rtcweb-overview	rtcweb-overview.xml	{'rtcweb-overview.xml': 42}	{'xml': 42}	42	1	xml
rtcweb-transport	rtcweb-transports.xml	{'rtcweb-transports.xml': 38}	{'xml': 38}	38	1	xml
qlog	draft-marx-qlog-event-definitions-quic-h3.md draft-ietf-quic-qlog-h3-events.md draft-ietf-quic-qlog-quic-events.md draft-ietf-quic-qlog-main-schema.md draft-marx-qlog-main-schema.md	{'draft-marx-qlog-event-definitions-quic-h3.md': 42, 'draft-ietf-quic-qlog-h3-events.md': 48, 'draft-ietf-quic-qlog-quic-events.md': 66, 'draft-ietf-quic-qlog-main-schema.md': 36, 'draft-marx-qlog-main-schema.md': 2}	{'md': 194}	194	5	md
ops-drafts	draft-ietf-quic-manageability.md draft-ietf-quic-applicability.md	{'draft-ietf-quic-manageability.md': 366, 'draft-ietf-quic-applicability.md': 234}	{'md': 600}	600	2	md
load-balancers	draft-ietf-quic-load-balancers.md draft-ietf-quic-retry-offload.md	{'draft-ietf-quic-load-balancers.md': 192, 'draft-ietf-quic-retry-offload.md': 4}	{'md': 196}	196	2	md
multipath	draft-ietf-quic-multipath.md draft-lmbdhk-quic-multipath.md	{'draft-ietf-quic-multipath.md': 122, 'draft-lmbdhk-quic-multipath.md': 80}	{'md': 202}	202	2	md
quic-v2	draft-ietf-quic-v2.md draft-duke-quic-v2.md	{'draft-ietf-quic-v2.md': 82, 'draft-duke-quic-v2.md': 2}	{'md': 84}	84	2	md
ack-frequency	draft-ietf-quic-ack-frequency.md draft-iyengar-quic-delayed-ack.md	{'draft-ietf-quic-ack-frequency.md': 146, 'draft-iyengar-quic-delayed-ack.md': 40}	{'md': 186}	186	2	md
version-negotiation	draft-ietf-quic-version-negotiation.md	{'draft-ietf-quic-version-negotiation.md': 118}	{'md': 118}	118	1	md
quic-bit-grease	draft-ietf-quic-bit-grease.md	{'draft-ietf-quic-bit-grease.md': 30}	{'md': 30}	30	1	md
quicwg-base-drafts	draft-ietf-quic-invariants.md draft-ietf-quic-http.md draft-ietf-quic-transport.md draft-ietf-quic-recovery.md draft-ietf-quic-tls.md rfc9000.md rfc9002.md rfc9114.md draft-ietf-quic-qpack.md rfc9204.md rfc8999.md draft-ietf-quic-spin-exp.md rfc9001.md	{'draft-ietf-quic-invariants.md': 76, 'draft-ietf-quic-http.md': 476, 'draft-ietf-quic-transport.md': 1382, 'draft-ietf-quic-recovery.md': 610, 'draft-ietf-quic-tls.md': 400, 'rfc9000.md': 52, 'rfc9002.md': 52, 'rfc9114.md': 54, 'draft-ietf-quic-qpack.md': 228, 'rfc9204.md': 22, 'rfc8999.md': 22, 'draft-ietf-quic-spin-exp.md': 4, 'rfc9001.md': 26}	{'md': 3404}	3404	13	md
quicwg-datagram	draft-ietf-quic-datagram.md	{'draft-ietf-quic-datagram.md': 78}	{'md': 78}	78	1	md
